#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1619304385   128      128    45537        5827699      0 100 0.0 1000.0 128000.0 1024000.0 232.7 232.7 
1619304386   128      128    46537        5955699      0 100 0.0 999.0 127872.1 1022977.0 243.1 243.1 
1619304387   128      128    47537        6083699      0 100 0.0 999.0 127872.1 1022977.0 238.0 238.0 
1619304388   128      128    48537        6211699      0 100 0.0 999.0 127872.1 1022977.0 235.8 235.8 
1619304389   128      128    49537        6339699      0 100 0.0 999.0 127872.1 1022977.0 237.4 237.4 
1619304390   128      128    50538        6467827      0 100 0.0 1000.0 128000.0 1024000.0 234.3 234.3 
1619304391   128      128    51536        6595571      0 100 0.0 997.0 127616.4 1020931.1 237.0 237.0 
1619304392   128      128    52535        6723443      0 100 0.0 998.0 127744.3 1021954.0 234.9 234.9 
1619304393   128      128    53536        6851571      0 100 0.0 1000.0 128000.0 1024000.0 234.1 234.1 
1619304394   128      128    54534        6979315      0 100 0.0 997.0 127616.4 1020931.1 236.0 236.0 
1619304395   128      128    55533        7107187      0 100 0.0 999.0 127872.0 1022976.0 236.8 236.8 
1619304396   128      128    56534        7235315      0 100 0.0 1000.0 128000.0 1024000.0 236.4 236.4 
1619304397   128      128    57534        7363315      0 100 0.0 999.0 127872.1 1022977.0 239.1 239.1 
1619304398   128      128    58533        7491187      0 100 0.0 998.0 127744.3 1021954.0 245.0 245.0 
1619304399   128      128    59533        7619187      0 100 0.0 999.0 127872.1 1022977.0 243.1 243.1 
1619304400   128      128    60532        7747059      0 100 0.0 998.0 127744.3 1021954.0 246.3 246.3 
1619304401   128      128    61532        7875059      0 100 0.0 999.0 127872.1 1022977.0 238.4 238.4 
1619304402   128      128    62531        8002931      0 100 0.0 998.0 127744.3 1021954.0 242.7 242.7 
1619304403   128      128    63532        8131059      0 100 0.0 1000.0 128000.0 1024000.0 240.3 240.3 
1619304404   128      128    64531        8258931      0 100 0.0 998.0 127744.3 1021954.0 244.8 244.8 
1619304405   128      128    65530        8386803      0 100 0.0 998.0 127744.3 1021954.0 239.9 239.9 
1619304406   128      128    66529        8514675      0 100 0.0 998.0 127744.3 1021954.0 238.0 238.0 
1619304407   128      128    67528        8642547      0 100 0.0 999.0 127872.0 1022976.0 233.7 233.7 
1619304408   128      128    68528        8770547      0 100 0.0 999.0 127872.1 1022977.0 239.9 239.9 
1619304409   128      128    69528        8898547      0 100 0.0 999.0 127872.1 1022977.0 241.2 241.2 
1619304410   128      128    70528        9026547      0 100 0.0 999.0 127872.1 1022977.0 242.3 242.3 
1619304411   128      128    71528        9154547      0 100 0.0 999.0 127872.1 1022977.0 243.7 243.7 
1619304412   128      128    72528        9282547      0 100 0.0 999.0 127872.1 1022977.0 239.9 239.9 
1619304413   128      128    73528        9410547      0 100 0.0 999.0 127872.1 1022977.0 244.6 244.6 
1619304414   128      128    74527        9538419      0 100 0.0 998.0 127744.3 1021954.0 236.1 236.1 
1619304415   128      128    75527        9666419      0 100 0.0 999.0 127872.1 1022977.0 236.7 236.7 
1619304416   128      128    76525        9794163      0 100 0.0 997.0 127616.4 1020931.1 238.0 238.0 
1619304417   128      128    77525        9922163      0 100 0.0 999.0 127872.1 1022977.0 236.3 236.3 
1619304418   128      128    78524       10050035      0 100 0.0 999.0 127872.0 1022976.0 239.7 239.7 
1619304419   128      128    79524       10178035      0 100 0.0 999.0 127872.1 1022977.0 240.5 240.5 
1619304420   128      128    80524       10306035      0 100 0.0 999.0 127872.1 1022977.0 240.7 240.7 
1619304421   128      128    81521       10433651      0 100 0.0 996.0 127488.5 1019908.1 240.1 240.1 
1619304422   128      128    82522       10561779      0 100 0.0 1000.0 128000.0 1024000.0 245.4 245.4 
1619304423   128      128    83521       10689651      0 100 0.0 998.0 127744.3 1021954.0 244.5 244.5 
1619304424   128      128    84521       10817651      0 100 0.0 999.0 127872.1 1022977.0 240.4 240.4 
1619304425   128      128    85521       10945651      0 100 0.0 999.0 127872.1 1022977.0 237.5 237.5 
1619304426   128      128    86522       11073779      0 100 0.0 1000.0 128000.0 1024000.0 246.1 246.1 
1619304427   128      128    87521       11201651      0 100 0.0 998.0 127744.3 1021954.0 250.3 250.3 
1619304428   128      128    88521       11329651      0 100 0.0 999.0 127872.1 1022977.0 247.4 247.4 
1619304429   128      128    89520       11457523      0 100 0.0 998.0 127744.3 1021954.0 245.3 245.3 
1619304430   128      128    90518       11585267      0 100 0.0 998.0 127744.0 1021952.0 250.4 250.4 
1619304431   128      128    91517       11713139      0 100 0.0 998.0 127744.3 1021954.0 245.5 245.5 
1619304432   128      128    92518       11841267      0 100 0.0 1000.0 128000.0 1024000.0 242.5 242.5 
1619304433   128      128    93516       11969011      0 100 0.0 997.0 127616.4 1020931.1 245.1 245.1 
1619304434   128      128    94517       12097139      0 100 0.0 1000.0 128000.0 1024000.0 246.0 246.0 
1619304435   128      128    95516       12225011      0 100 0.0 998.0 127744.3 1021954.0 252.1 252.1 
1619304436   128      128    96515       12352883      0 100 0.0 998.0 127744.3 1021954.0 245.8 245.8 
1619304437   128      128    97515       12480883      0 100 0.0 999.0 127872.1 1022977.0 243.7 243.7 
1619304438   128      128    98516       12609011      0 100 0.0 1000.0 128000.0 1024000.0 247.9 247.9 
1619304439   128      128    99516       12737011      0 100 0.0 999.0 127872.1 1022977.0 243.3 243.3 
1619304440   128      128   100516       12865011      0 100 0.0 999.0 127872.1 1022977.0 247.4 247.4 
1619304441   128      128   101514       12992755      0 100 0.0 997.0 127616.4 1020931.1 247.5 247.5 
1619304442   128      128   102514       13120755      0 100 0.0 1000.0 128000.0 1024000.0 252.1 252.1 
1619304443   128      128   103513       13248627      0 100 0.0 998.0 127744.3 1021954.0 250.5 250.5 
1619304444   128      128   104513       13376627      0 100 0.0 999.0 127872.1 1022977.0 241.7 241.7 
1619304445   128      128   105514       13504755      0 100 0.0 1000.0 128000.0 1024000.0 248.6 248.6 
1619304446   128      128   106514       13632755      0 100 0.0 999.0 127872.1 1022977.0 248.7 248.7 
1619304447   128      128   106770       13665523      0 100 0.0 255.7 32735.3 261882.1 - - 
1619304448   128      128   106770       13665523      0 100 0.0 0.0 0.0 0.0 - - 
#======= Percentiles for time-to-first-byte and time-to-last-byte =======
# use $3:$5 $3:$7 with logscale X
# $1     $2      $3         $4       $5         $6       $7
#pctl   tail   invtail   ttfbcnt ttfb(ms)   ttlbcnt ttlb(ms)
10      90     1            8964    0.058      8964    0.058
20      80     1           18339    0.081     18339    0.081
30      70     1           27441    0.117     27441    0.117
40      60     2           36807    0.151     36807    0.151
50      50     2           45924    0.194     45924    0.194
55      45     2           50612    0.222     50612    0.222
60      40     3           55269    0.251     55269    0.251
65      35     3           59874    0.279     59874    0.279
70      30     3           64422    0.309     64422    0.309
75      25     4           69070    0.343     69070    0.343
80      20     5           73749    0.386     73749    0.386
82      18     6           75550    0.407     75550    0.407
84      16     6           77397    0.432     77397    0.432
86      14     7           79253     0.46     79253     0.46
88      12     8           81097    0.488     81097    0.488
90      10     10          82902    0.515     82902    0.515
91      9      11          83847    0.528     83847    0.528
92      8      13          84753    0.541     84753    0.541
93      7      14          85694    0.555     85694    0.555
94      6      17          86620    0.569     86620    0.569
95      5      20          87567    0.585     87567    0.585
95.5    4.5    22          88024    0.593     88024    0.593
96      4      25          88507    0.602     88507    0.602
96.5    3.5    29          88959    0.612     88959    0.612
97      3      33          89400    0.622     89400    0.622
97.5    2.5    40          89882    0.633     89882    0.633
98      2      50          90344    0.646     90344    0.646
98.5    1.5    67          90807    0.663     90807    0.663
99      1      100         91277    0.683     91277    0.683
99.1    0.9    111         91367    0.688     91367    0.688
99.2    0.8    125         91451    0.693     91451    0.693
99.3    0.7    143         91546    0.698     91546    0.698
99.4    0.6    167         91648    0.706     91648    0.706
99.5    0.5    200         91741    0.714     91741    0.714
99.55   0.45   222         91783    0.719     91783    0.719
99.6    0.4    250         91832    0.726     91832    0.726
